id,cmgroup,age,struc
2194,220,2,artproc
2195,230,2,artproc
2196,230,3,artproc
2197,240,2,artproc
2198,240,2,artproc
2199,160,1,artproc
2200,160,1,artproc
2201,170,1,artproc
2202,170,1,artproc
2203,230,1,artproc
2204,230,3,artproc
2205,200,1,artproc
2206,200,1,artproc
2207,210,1,artproc
2208,210,2,artproc
2209,210,1,artproc
2210,210,2,artproc
2211,210,1,artproc
2212,210,1,artproc
2213,210,2,artproc
2214,210,2,artproc
2215,220,2,artproc
2216,220,2,artproc
2217,220,1,artproc
2218,220,1,artproc
2219,220,2,artproc
2220,220,2,artproc
2221,220,1,artproc
2222,220,1,artproc
2223,220,2,artproc
2224,220,2,artproc
2225,220,1,artproc
2226,230,2,artproc
2227,230,1,artproc
2228,230,1,artproc
2229,230,1,artproc
2230,230,1,artproc
2231,230,2,artproc
2232,230,2,artproc
2233,230,2,artproc
2234,230,2,artproc
2235,230,1,artproc
2236,230,2,artproc
2237,240,2,artproc
2238,240,2,artproc
2239,240,2,artproc
2240,240,2,artproc
2241,240,1,artproc
2242,240,2,artproc
2243,240,2,artproc
2244,240,1,artproc
2245,240,1,artproc
2246,250,2,artproc
2247,250,2,artproc
2248,250,2,artproc
2249,250,2,artproc
2250,250,2,artproc
2251,250,1,artproc
2252,250,2,artproc
2253,250,1,artproc
2254,250,2,artproc
2255,250,2,artproc
2256,250,2,artproc
2257,250,2,artproc
2258,260,3,artproc
2259,260,2,artproc
2260,260,2,artproc
2261,260,2,artproc
2262,260,2,artproc
